# Time ............. [Fri Jul 14 11:14:29 2017]
# resourcesInitial . [50]
# areaPatch ........ [10]
# agentCount ....... [1]
# consumptionRateMax [50]
# areaForaging ..... [1]
# maxTimesteps ..... [200]
# =========================================================

# Time    Density    A_Eff      R_ga       R_gt       Remain     Foraged    Percentage
0095      000.000    001.000    000.000    000.000    000.002    049.998    0.99996
0096      000.000    001.000    000.000    000.000    000.002    049.998    0.99996
0097      000.000    001.000    000.000    000.000    000.002    049.998    0.99996
0098      000.000    001.000    000.000    000.000    000.002    049.998    0.99997
0099      000.000    001.000    000.000    000.000    000.001    049.999    0.99997
0100      000.000    001.000    000.000    000.000    000.001    049.999    0.99997
0101      000.000    001.000    000.000    000.000    000.001    049.999    0.99998
0102      000.000    001.000    000.000    000.000    000.001    049.999    0.99998
0103      000.000    001.000    000.000    000.000    000.001    049.999    0.99998
0104      000.000    001.000    000.000    000.000    000.001    049.999    0.99998
0105      000.000    001.000    000.000    000.000    000.001    049.999    0.99998
0106      000.000    001.000    000.000    000.000    000.001    049.999    0.99999
0107      000.000    001.000    000.000    000.000    000.001    049.999    0.99999
0108      000.000    001.000    000.000    000.000    000.001    049.999    0.99999
0109      000.000    001.000    000.000    000.000    000.001    049.999    0.99999
0110      000.000    001.000    000.000    000.000    000.000    050.000    0.99999
0111      000.000    001.000    000.000    000.000    000.000    050.000    0.99999
0112      000.000    001.000    000.000    000.000    000.000    050.000    0.99999
0113      000.000    001.000    000.000    000.000    000.000    050.000    0.99999
0114      000.000    001.000    000.000    000.000    000.000    050.000    0.99999
0115      000.000    001.000    000.000    000.000    000.000    050.000    0.99999
0116      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0117      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0118      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0119      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0120      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0121      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0122      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0123      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0124      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0125      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0126      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0127      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0128      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0129      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0130      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0131      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0132      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0133      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0134      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0135      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0136      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0137      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0138      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0139      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0140      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0141      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0142      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0143      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0144      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0145      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0146      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0147      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0148      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0149      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0150      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0151      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0152      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0153      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0154      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0155      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0156      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0157      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0158      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0159      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0160      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0161      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0162      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0163      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0164      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0165      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0166      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0167      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0168      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0169      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0170      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0171      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0172      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0173      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0174      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0175      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0176      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0177      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0178      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0179      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0180      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0181      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0182      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0183      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0184      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0185      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0186      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0187      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0188      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0189      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0190      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0191      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0192      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0193      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0194      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0195      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0196      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0197      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0198      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
0199      000.000    001.000    000.000    000.000    000.000    050.000    1.00000
